customerID,gender,InternetService,Contract,tenure,MonthlyCharges,TotalCharges
6180-YBIQI,Male,DSL,Month-to-month,5,24.3,100.2
6728-DKUCO,Female,Fiber optic,One year,72,104.15,7303.05
9750-BOOHV,Female,DSL,One year,32,30.15,927.65
8597-CWYHH,Male,Fiber optic,One year,43,94.35,3921.3
2848-YXSMW,Male,No,Two year,72,19.4,1363.25
0486-HECZI,Male,Fiber optic,Month-to-month,55,96.75,5238.9
4549-ZDQYY,Female,DSL,One year,52,57.95,3042.25
5712-AHQNN,Female,Fiber optic,Month-to-month,43,91.65,3954.1
4846-WHAFZ,Female,Fiber optic,Month-to-month,37,76.5,2868.15
5256-SKJGO,Female,DSL,Two year,64,54.6,3423.5
3071-VBYPO,Male,Fiber optic,Month-to-month,3,89.85,248.4
9560-BBZXK,Female,DSL,Two year,36,31.05,1126.35
5299-RULOA,Female,Fiber optic,Month-to-month,10,100.25,1064.65
8402-OOOHJ,Female,No,Two year,41,20.65,835.15
9445-ZUEQE,Male,Fiber optic,Month-to-month,27,85.2,2151.6
1091-SOZGA,Female,Fiber optic,One year,56,99.8,5515.45
2928-HLDBA,Female,No,Month-to-month,6,20.7,112.75
0404-SWRVG,Male,Fiber optic,Month-to-month,3,74.4,229.55
6497-TILVL,Female,DSL,Month-to-month,7,50.7,350.35
7219-TLZHO,Female,No,Month-to-month,4,20.85,62.9
4622-YNKIJ,Male,Fiber optic,Two year,33,88.95,3027.65
4412-YLTKF,Female,Fiber optic,Month-to-month,27,78.05,2135.5
6734-PSBAW,Male,No,Two year,72,23.55,1723.95
3930-ZGWVE,Male,No,Month-to-month,1,19.75,19.75
2639-UGMAZ,Male,DSL,One year,71,56.45,3985.35
2876-GZYZC,Female,Fiber optic,Month-to-month,13,85.95,1215.65
6207-WIOLX,Female,DSL,Month-to-month,25,58.6,1502.65
8587-XYZSF,Male,DSL,Two year,67,50.55,3260.1
3091-FYHKI,Male,DSL,Month-to-month,1,35.45,35.45
2372-HWUHI,Male,DSL,Month-to-month,2,44.35,81.25
7799-LGRDP,Female,No,Two year,43,25.7,1188.2
7850-VWJUU,Female,Fiber optic,Month-to-month,23,75.0,1778.5
3774-VBNXY,Female,No,Two year,64,20.2,1277.75
6217-KDYWC,Male,No,Two year,57,19.6,1170.55
0390-DCFDQ,Female,Fiber optic,Month-to-month,1,70.45,70.45
3146-MSEGF,Female,DSL,Two year,72,88.05,6425.65
4080-OGPJL,Female,DSL,Month-to-month,8,71.15,563.65
1095-WGNGG,Female,Fiber optic,Two year,61,101.05,5971.25
2636-SJDOU,Male,Fiber optic,One year,64,84.3,5289.05
1131-QQZEB,Male,No,Two year,71,23.95,1756.2
5716-EZXZN,Female,Fiber optic,Two year,65,99.05,6416.7
6837-BJYDQ,Male,No,One year,3,19.6,61.35
2135-RXIHG,Male,DSL,Month-to-month,1,45.65,45.65
6440-DKQGE,Male,DSL,One year,30,64.5,1929.95
3466-BYAVD,Male,DSL,Month-to-month,15,69.5,1071.4
3780-YVMFA,Female,DSL,Month-to-month,8,68.55,564.35
3874-EQOEP,Male,Fiber optic,Month-to-month,7,95.0,655.5
1679-JRFBR,Female,Fiber optic,One year,70,108.15,7930.55
9073-ZZIAY,Male,DSL,Two year,62,86.1,5215.25
3077-RSNTJ,Female,No,Month-to-month,6,19.7,113.5
6551-GNYDG,Female,Fiber optic,Month-to-month,14,80.9,1152.8
9167-APMXZ,Female,Fiber optic,Month-to-month,22,84.15,1821.95
2749-CTKAJ,Male,No,One year,22,20.15,419.9
6371-NZYEG,Male,DSL,Two year,16,64.25,1024.0
7554-NEWDD,Male,No,Two year,10,25.7,251.6
8992-VONJD,Female,DSL,Month-to-month,13,56.0,764.55
0867-MKZVY,Female,Fiber optic,Month-to-month,20,82.4,1592.35
4482-EWFMI,Female,Fiber optic,Month-to-month,2,69.7,135.2
4648-YPBTM,Male,DSL,Two year,53,73.9,3958.25
2907-ILJBN,Female,No,One year,11,20.6,233.9
6345-FZOQH,Male,No,Two year,69,19.9,1363.45
3376-BMGFE,Female,Fiber optic,Month-to-month,4,70.9,273.0
5997-OPVFA,Male,DSL,Two year,72,89.05,6254.45
3445-HXXGF,Male,DSL,Month-to-month,58,45.3,2651.2
1159-WFSGR,Female,No,Month-to-month,16,20.4,321.4
7654-YWJUF,Male,Fiber optic,One year,43,84.25,3539.25
1875-QIVME,Female,Fiber optic,Month-to-month,2,104.4,242.8
6727-IOTLZ,Male,DSL,Two year,14,81.95,1181.75
0691-JVSYA,Female,Fiber optic,One year,53,94.85,5000.2
5918-VUKWP,Female,No,One year,32,20.55,654.55
1744-JHKYS,Female,No,Month-to-month,34,24.7,780.2
2656-FMOKZ,Female,Fiber optic,Month-to-month,15,74.45,1145.7
2070-FNEXE,Female,Fiber optic,Month-to-month,7,76.45,503.6
5947-SGKCL,Female,Fiber optic,Month-to-month,15,105.35,1559.25
3712-PKXZA,Male,No,One year,61,20.55,1252.0
6317-YPKDH,Female,DSL,Month-to-month,1,29.95,29.95
6582-OIVSP,Female,DSL,Month-to-month,1,45.3,45.3
9367-WXLCH,Male,Fiber optic,Month-to-month,8,84.5,662.65
5524-KHNJP,Male,DSL,One year,33,74.75,2453.3
1918-ZBFQJ,Female,Fiber optic,Month-to-month,13,79.25,1111.65
1024-GUALD,Female,DSL,Month-to-month,1,24.8,24.8
4827-USJHP,Male,DSL,Month-to-month,20,51.8,1023.85
8167-GJLRN,Male,DSL,Month-to-month,3,30.4,82.15
0956-SYCWG,Female,No,One year,13,19.65,244.8
8017-UVSZU,Female,DSL,Month-to-month,40,56.6,2379.1
7100-FQPRV,Male,DSL,One year,43,71.9,3173.35
2472-OVKUP,Male,Fiber optic,Month-to-month,6,91.0,531.0
2984-RGEYA,Female,No,Two year,69,19.75,1375.4
9680-NIAUV,Female,Fiber optic,Two year,72,109.7,8129.3
2146-EGVDT,Male,No,Two year,59,19.3,1192.7
2604-IJPDU,Female,Fiber optic,Month-to-month,20,96.55,1901.65
9178-JHUVJ,Male,No,Two year,24,24.1,587.4
6168-YBYNP,Male,Fiber optic,Month-to-month,59,111.35,6519.75
7255-SSFBC,Male,Fiber optic,Two year,72,112.25,8041.65
3645-DEYGF,Male,No,Month-to-month,1,20.75,20.75
9323-HGFWY,Female,Fiber optic,One year,27,101.9,2681.15
8544-GOQSH,Female,Fiber optic,Month-to-month,14,80.05,1112.3
3363-DTIVD,Male,Fiber optic,Two year,71,105.55,7405.5
7018-WBJNK,Male,Fiber optic,Month-to-month,13,78.3,1033.95
9142-KZXOP,Male,Fiber optic,Month-to-month,44,68.85,2958.95
7674-YTAFD,Female,Fiber optic,One year,33,79.95,2684.85
6348-SNFUS,Male,DSL,Two year,72,55.45,4179.2
1285-OKIPP,Male,Fiber optic,Month-to-month,1,79.9,79.9
7825-ECJRF,Female,Fiber optic,Month-to-month,19,106.6,1934.45
1347-KTTTA,Male,Fiber optic,One year,64,102.45,6654.1
7841-TZDMQ,Male,DSL,Month-to-month,2,46.0,84.5
4195-NZGTA,Female,DSL,Month-to-month,1,25.25,25.25
7157-SMCFK,Male,No,Two year,61,19.75,1124.2
4709-LKHYG,Female,No,One year,29,20.0,540.05
2504-DSHIH,Male,Fiber optic,Month-to-month,23,86.8,1975.85
0699-NDKJM,Female,DSL,Month-to-month,57,58.75,3437.45
9286-BHDQG,Male,DSL,Two year,72,45.25,3139.8
0230-WEQUW,Male,DSL,Two year,66,56.6,3789.2
2040-LDIWQ,Male,DSL,Two year,65,84.2,5324.5
6496-JDSSB,Female,Fiber optic,Month-to-month,8,80.0,624.6
9408-SSNVZ,Female,Fiber optic,Month-to-month,4,70.15,268.35
4443-EMBNA,Female,No,Two year,71,24.75,1836.9
6469-MRVET,Male,No,One year,1,20.2,20.2
0742-MOABM,Male,DSL,Month-to-month,4,50.05,179.35
5961-VUSRV,Female,No,One year,12,19.35,219.35
6778-JFCMK,Male,DSL,One year,24,50.6,1288.75
6341-JVQGF,Female,DSL,One year,31,81.15,2545.75
2232-DMLXU,Female,DSL,Month-to-month,1,55.2,55.2
4811-JBUVU,Male,Fiber optic,Month-to-month,30,89.9,2723.15
0945-TSONX,Female,DSL,Two year,47,85.3,4107.25
2651-ZCBXV,Male,Fiber optic,Two year,54,108.0,5760.65
3316-UWXUY,Male,Fiber optic,Month-to-month,50,93.5,4747.5
8937-RDTHP,Male,Fiber optic,Month-to-month,1,84.6,84.6
7083-MIOPC,Female,No,Two year,72,20.25,1566.9
1984-GPTEH,Female,No,Month-to-month,29,25.15,702.0
1251-KRREG,Male,DSL,Month-to-month,2,54.4,114.1
0621-JFHOL,Female,DSL,Two year,10,29.6,299.05
9903-LYSAB,Male,Fiber optic,Month-to-month,18,73.15,1305.95
0094-OIFMO,Female,Fiber optic,Month-to-month,11,95.0,1120.3
9227-UAQFT,Male,No,Two year,16,19.75,284.35
7301-ABVAD,Female,DSL,Two year,72,86.6,6350.5
6614-FHDBO,Male,Fiber optic,Two year,72,109.2,7878.3
7576-ASEJU,Female,DSL,One year,41,74.7,3187.65
9058-HRZSV,Female,Fiber optic,Month-to-month,65,94.4,6126.15
4522-AKYLR,Female,DSL,Month-to-month,13,54.8,731.3
0221-WMXNQ,Male,Fiber optic,Month-to-month,4,75.35,273.4
0303-UNCIP,Male,DSL,One year,41,65.0,2531.8
9947-OTFQU,Male,Fiber optic,Month-to-month,15,74.4,1074.3
0322-YINQP,Male,DSL,Month-to-month,1,48.55,48.55
0959-WHOKV,Male,Fiber optic,One year,42,99.0,4298.45
4075-JFPGR,Female,Fiber optic,One year,51,93.5,4619.55
4629-NRXKX,Female,Fiber optic,Month-to-month,2,70.4,147.15
9514-JDSKI,Male,DSL,Month-to-month,1,40.2,40.2
3282-ZISZV,Male,DSL,One year,32,83.7,2633.3
3675-YDUPJ,Male,No,Month-to-month,10,19.85,193.05
4111-BNXIF,Female,DSL,Two year,67,59.55,4103.9
7017-VFHAY,Female,Fiber optic,Two year,61,115.1,7008.15
6655-LHBYW,Male,Fiber optic,One year,50,114.35,5791.1
4959-JOSRX,Female,DSL,Month-to-month,2,44.6,80.55
5046-NUHWD,Female,DSL,Month-to-month,29,45.0,1228.65
7273-TEFQD,Male,DSL,Month-to-month,3,41.15,132.2
3606-TWKGI,Male,Fiber optic,Month-to-month,13,106.9,1364.3
7529-ZDFXI,Male,Fiber optic,Month-to-month,57,89.85,4925.35
7605-BDWDC,Female,DSL,Two year,31,49.85,1520.1
1950-KSVVJ,Female,Fiber optic,One year,45,113.3,5032.25
0123-CRBRT,Female,DSL,Two year,61,88.1,5526.75
6292-TOSSS,Male,No,Two year,50,24.9,1195.25
3197-ARFOY,Female,Fiber optic,Month-to-month,19,105.0,2007.25
6323-AYBRX,Male,No,Two year,59,19.35,1099.6
7014-ZZXAW,Female,No,Two year,71,24.25,1732.95
4385-GZQXV,Female,Fiber optic,Month-to-month,16,94.45,1511.2
7633-MVPUY,Male,DSL,Two year,57,59.75,3450.15
6366-ZGQGL,Male,DSL,Month-to-month,1,24.8,24.8
4716-HHKQH,Male,Fiber optic,Month-to-month,20,107.05,2172.05
5940-AHUHD,Male,Fiber optic,Month-to-month,1,70.6,70.6
6432-TWQLB,Male,Fiber optic,Month-to-month,5,85.4,401.1
4484-GLZOU,Female,Fiber optic,Month-to-month,52,105.05,5624.85
3179-GBRWV,Male,DSL,Month-to-month,21,64.95,1339.8
8645-KWHJO,Male,DSL,Month-to-month,14,55.0,771.95
4130-MZLCC,Female,DSL,Month-to-month,5,50.55,244.75
0314-TKOSI,Female,DSL,Month-to-month,6,55.15,322.9
8229-MYEJZ,Female,DSL,Month-to-month,10,51.2,498.25
2080-SRCDE,Female,No,Month-to-month,1,25.4,25.4
9577-WJVCQ,Female,DSL,Month-to-month,68,54.45,3687.75
9512-UIBFX,Male,Fiber optic,Month-to-month,18,95.15,1779.95
6202-DYYFX,Female,Fiber optic,One year,22,76.0,1783.6
3808-HFKDE,Female,DSL,Month-to-month,20,44.35,927.15
5583-SXDAG,Male,Fiber optic,Month-to-month,1,70.0,70.0
3488-PGMQJ,Male,Fiber optic,Month-to-month,8,74.5,606.55
3580-REOAC,Male,DSL,Month-to-month,10,44.85,435.4
7534-BFESC,Male,Fiber optic,Month-to-month,24,76.1,1712.7
3727-OWVYD,Male,DSL,One year,35,61.2,2021.2
2294-SALNE,Male,Fiber optic,One year,23,86.8,1940.8
4847-TAJYI,Female,Fiber optic,Month-to-month,6,89.35,567.8
1563-IWQEX,Female,No,Month-to-month,12,19.7,220.35
8203-XJZRC,Male,No,Month-to-month,1,20.25,20.25
6556-DBKZF,Female,Fiber optic,Two year,71,76.05,5436.45
6851-WEFYX,Male,Fiber optic,Month-to-month,35,100.8,3437.5
2985-JUUBZ,Male,DSL,Month-to-month,40,74.55,3015.75
6390-DSAZX,Female,Fiber optic,Month-to-month,1,73.6,73.6
0895-LMRSF,Male,DSL,One year,23,64.9,1509.8
8098-LLAZX,Female,Fiber optic,Month-to-month,4,95.45,396.1
8266-VBFQL,Male,Fiber optic,Month-to-month,4,90.4,356.65
8181-YHCMF,Female,DSL,Two year,68,60.3,4109.0
2240-HSJQD,Male,Fiber optic,Month-to-month,38,81.85,3141.7
1248-DYXUB,Male,No,Two year,52,24.8,1229.1
0265-EDXBD,Male,Fiber optic,Month-to-month,32,74.9,2303.35
4115-BNPJY,Male,DSL,Two year,29,75.55,2054.4
3167-SNQPL,Male,Fiber optic,Month-to-month,38,101.15,3741.85
4091-TVOCN,Male,DSL,One year,48,78.75,3682.45
1098-TDVUQ,Female,No,Month-to-month,1,19.25,19.25
7277-OZCGZ,Female,Fiber optic,Month-to-month,22,89.05,1886.25
1557-EMYVT,Female,Fiber optic,Two year,43,115.05,4895.1
2799-ARNLO,Female,Fiber optic,Month-to-month,5,69.35,341.6
7563-BIUPC,Male,Fiber optic,Month-to-month,5,80.6,415.55
5027-YOCXN,Male,Fiber optic,One year,51,110.05,5686.4
3973-SKMLN,Male,No,Two year,71,19.9,1355.1
2321-OMBXY,Female,DSL,One year,38,80.3,3058.65
2840-XANRC,Male,Fiber optic,Month-to-month,24,93.15,2231.05
6745-JEFZB,Male,Fiber optic,Month-to-month,35,91.5,3236.35
5020-ZSTTY,Female,DSL,One year,54,82.45,4350.1
9880-TDQAC,Female,DSL,Two year,72,60.0,4264.0
8705-WZCYL,Male,DSL,Month-to-month,1,44.8,44.8
7102-JJVTX,Female,DSL,One year,9,48.6,422.3
8626-PTQGE,Male,DSL,Two year,69,60.05,4176.7
4983-CLMLV,Female,Fiber optic,Month-to-month,52,102.7,5138.1
5701-YVSVF,Female,Fiber optic,Month-to-month,11,82.9,880.05
5804-LEPIM,Female,Fiber optic,Month-to-month,2,70.35,139.05
5697-GOMBF,Female,DSL,Month-to-month,28,35.9,973.65
2739-CACDQ,Female,Fiber optic,Month-to-month,17,82.65,1470.05
9385-EHGDO,Female,No,Two year,35,19.85,739.35
9498-FIMXL,Female,No,One year,8,19.2,161.95
2379-GYFLQ,Male,Fiber optic,One year,46,94.9,4422.95
0122-OAHPZ,Female,Fiber optic,Month-to-month,7,73.85,511.25
2868-SNELZ,Female,Fiber optic,Month-to-month,2,80.6,155.8
4322-RCYMT,Male,DSL,One year,68,75.8,5293.95
6680-NENYN,Female,Fiber optic,Two year,43,104.6,4759.85
2088-IEBAU,Female,DSL,Two year,68,88.15,6148.45
7982-VCELR,Female,Fiber optic,Month-to-month,36,94.8,3565.65
1343-EHPYB,Male,Fiber optic,Month-to-month,63,103.4,6603.0
6035-BXTTY,Female,DSL,Month-to-month,32,54.65,1830.1
6885-PKOAM,Female,DSL,Two year,71,85.75,6223.8
7520-HQWJU,Female,DSL,Month-to-month,66,67.45,4508.65
9639-BUJXT,Male,No,One year,63,20.5,1328.15
5924-SNGKP,Female,No,One year,41,20.25,865.0
0021-IKXGC,Female,Fiber optic,Month-to-month,1,72.1,72.1
2034-GDRCN,Female,Fiber optic,Month-to-month,2,90.4,168.2
8966-SNIZF,Female,No,Two year,70,19.45,1303.5
6243-OZGFH,Female,DSL,Month-to-month,23,44.95,996.85
4654-DLAMQ,Female,Fiber optic,One year,64,97.0,6430.9
0513-RBGPE,Male,DSL,Two year,37,62.8,2278.75
5160-UXJED,Male,DSL,One year,17,44.6,681.4
4115-NZRKS,Female,Fiber optic,Month-to-month,7,89.15,574.35
0219-YTZUE,Male,Fiber optic,Month-to-month,4,84.8,371.9
0623-IIHUG,Female,DSL,Month-to-month,21,41.9,840.1
4572-DVCGN,Female,Fiber optic,Month-to-month,10,80.25,846.0
3351-NGXYI,Female,DSL,Month-to-month,16,54.1,889.0
8984-EYLLL,Male,Fiber optic,Two year,64,105.25,6823.4
9057-MSWCO,Male,DSL,Month-to-month,27,30.75,805.1
9833-TGFHX,Male,Fiber optic,One year,42,97.1,4016.75
9294-TDIPC,Male,No,Month-to-month,5,20.2,83.75
5229-DTFYB,Female,Fiber optic,Two year,41,98.8,3959.15
0104-PPXDV,Male,DSL,One year,58,50.3,2878.55
5176-LMJXE,Female,No,Two year,47,20.55,945.7
3583-KRKMD,Male,Fiber optic,Month-to-month,18,75.9,1373.05
1010-DIAUQ,Male,Fiber optic,Month-to-month,5,96.5,492.55
9069-LGEUL,Male,DSL,Month-to-month,23,59.95,1406.0
7302-ZHMHP,Female,No,Month-to-month,1,19.15,19.15
9571-EDEBV,Male,Fiber optic,One year,71,98.65,6962.85
3520-FJGCV,Male,Fiber optic,Two year,72,112.6,8126.65
6563-VRERX,Male,No,One year,33,20.6,690.25
0259-GBZSH,Male,Fiber optic,Month-to-month,2,85.65,181.5
6122-EFVKN,Male,DSL,Two year,24,35.75,830.8
2805-EDJPQ,Female,Fiber optic,One year,56,99.75,5608.4
6862-CQUMB,Male,Fiber optic,Month-to-month,37,96.1,3646.8
7156-MXBJE,Female,DSL,One year,43,85.1,3662.25
6158-HDPXZ,Male,DSL,Month-to-month,1,25.35,25.35
9601-BRXPO,Female,Fiber optic,Month-to-month,25,104.95,2566.5
2863-IMQDR,Female,DSL,Two year,61,89.65,5308.7
5686-CMAWK,Male,Fiber optic,One year,17,86.75,1410.25
5651-CRHKQ,Female,Fiber optic,One year,41,86.2,3339.05
6905-NIQIN,Male,DSL,Month-to-month,1,50.65,50.65
8204-YJCLA,Male,DSL,Two year,72,64.8,4732.35
5167-ZFFMM,Male,Fiber optic,Month-to-month,1,90.85,90.85
6583-SZVGP,Male,Fiber optic,Two year,48,108.1,5067.45
4895-TMWIR,Male,No,Month-to-month,11,19.95,214.75
0533-BNWKF,Female,Fiber optic,Month-to-month,55,85.45,4874.7
1708-PBBOA,Female,DSL,One year,42,54.75,2348.45
8782-LKFPK,Male,Fiber optic,Month-to-month,44,90.4,4063.0
5522-JBWMO,Male,DSL,Month-to-month,1,44.0,44.0
3597-MVHJT,Female,Fiber optic,Month-to-month,27,95.6,2595.25
9774-NRNAU,Male,DSL,Month-to-month,27,84.8,2309.55
0224-RLWWD,Female,DSL,Month-to-month,2,44.3,89.3
9967-ATRFS,Female,No,Month-to-month,19,19.9,367.55
3951-NJCVI,Female,Fiber optic,Month-to-month,42,95.05,3944.5
2977-CEBSX,Female,DSL,Two year,66,90.05,5965.95
0177-PXBAT,Male,Fiber optic,Month-to-month,33,109.9,3694.7
6599-CEBNN,Female,Fiber optic,Month-to-month,34,73.95,2524.45
2519-ERQOJ,Male,DSL,Month-to-month,33,54.6,1803.7
5876-QMYLD,Female,No,One year,23,20.05,415.1
2277-AXSDC,Female,No,One year,32,19.75,624.15
9442-JTWDL,Female,No,One year,11,20.05,237.7
0979-PHULV,Male,Fiber optic,Month-to-month,69,99.45,7007.6
3067-SVMTC,Female,DSL,One year,68,55.9,3848.8
5495-GPSRW,Male,No,Two year,20,19.7,419.4
7606-BPHHN,Male,No,Two year,72,19.8,1468.75
4742-DRORA,Male,Fiber optic,One year,60,95.4,5812.0
0111-KLBQG,Male,Fiber optic,Month-to-month,32,93.95,2861.45
4800-VHZKI,Female,No,Month-to-month,1,19.9,19.9
7989-CHGTL,Male,No,Month-to-month,1,19.6,19.6
0334-GDDSO,Male,Fiber optic,Month-to-month,3,81.35,233.7
4163-NCJAK,Female,No,One year,46,24.45,1066.15
5233-AOZUF,Female,Fiber optic,Month-to-month,29,74.95,2149.05
5973-EJGDP,Male,Fiber optic,Month-to-month,51,87.35,4473.0
1996-DBMUS,Female,Fiber optic,Month-to-month,48,70.65,3545.05
7916-VCCPB,Female,Fiber optic,Month-to-month,16,73.25,1195.75
4686-GEFRM,Male,Fiber optic,Two year,70,98.7,6858.9
5249-QYHEX,Female,No,Two year,40,24.8,1024.7
0578-SKVMF,Female,Fiber optic,Month-to-month,22,83.3,1845.9
5564-NEMQO,Female,Fiber optic,Month-to-month,1,75.3,75.3
